1,Accounting
2,Cost and Management Accounting
3,Quantitative Techniques
4,Operational Research
5,Information Technology
6,Advertisement & Sales Promotion
7,Goods & Services Tax
8,Business Law
9,Business Mathematics
10,Business Communication
11,Business Environment
12,Economics
13,Organisational Behaviour
14,International Finance
15,International Business
16,Management Information System
17,Management
18,Business Management
19,Production & Operations Management
20,Human Resource Management
21,Marketing Management
22,Strategic Management
23,Entrepreneurship Development & Project Management
24,Financial Management
25,Security Analysis & Portfolio Management
26,Financial Derivatives
27,Financial Services
28,Financial Markets & Operations
29,Research Methodology
30,Auditing
31,Banking
32,Insurance
33,Econometrics
34,Reference Texts
35,Miscellaneous
